w_value,epoch,iter,loss0,reg,loss,acc,srpq
0.008,25,2,0.102905,0.398841,0.501746,0.968750,6.710971e-01
0.008,25,3,0.103347,0.398573,0.501920,0.967857,6.712774e-01
0.008,26,1,0.103417,0.397827,0.501244,0.967529,6.717781e-01
0.008,26,2,0.101792,0.397183,0.498975,0.969971,6.722112e-01
0.008,26,3,0.101318,0.396502,0.497820,0.969345,6.726689e-01
0.008,27,1,0.101602,0.395784,0.497387,0.969727,6.731518e-01
0.008,27,2,0.100836,0.395614,0.496450,0.969482,6.732665e-01
0.008,27,3,0.101184,0.394965,0.496149,0.966667,6.737034e-01
0.008,28,1,0.100116,0.394283,0.494399,0.968994,6.741629e-01
0.008,28,2,0.100214,0.393771,0.493984,0.968262,6.745086e-01
0.008,28,3,0.100145,0.393089,0.493234,0.969643,6.749687e-01
0.008,29,1,0.100069,0.392697,0.492765,0.967285,6.752335e-01
0.008,29,2,0.098671,0.392071,0.490742,0.968506,6.756559e-01
0.008,29,3,0.098784,0.391134,0.489918,0.971726,6.762893e-01
0.008,30,1,0.097389,0.390960,0.488349,0.973633,6.764072e-01
0.008,30,2,0.099941,0.390336,0.490277,0.965576,6.768291e-01
0.008,30,3,0.097254,0.389401,0.486655,0.967560,6.774628e-01
0.016,1,1,0.147812,0.385208,0.533020,0.964600,6.803094e-01
0.016,1,2,0.147489,0.384856,0.532345,0.965088,6.805487e-01
0.016,1,3,0.146522,0.383618,0.530140,0.959821,6.813914e-01
0.016,2,1,0.147197,0.383209,0.530406,0.960205,6.816702e-01
0.016,2,2,0.144338,0.383198,0.527536,0.965332,6.816779e-01
0.016,2,3,0.144074,0.382066,0.526140,0.962500,6.824499e-01
0.016,3,1,0.144238,0.381975,0.526213,0.961426,6.825119e-01
0.016,3,2,0.143781,0.380734,0.524516,0.957764,6.833593e-01
0.016,3,3,0.142057,0.380508,0.522565,0.965774,6.835139e-01
0.016,4,1,0.139754,0.379730,0.519484,0.964600,6.840462e-01
0.016,4,2,0.143534,0.379497,0.523030,0.961426,6.842058e-01
0.016,4,3,0.141589,0.378492,0.520081,0.958333,6.848933e-01
0.016,5,1,0.139021,0.378203,0.517224,0.964844,6.850912e-01
0.016,5,2,0.140094,0.377088,0.517183,0.963135,6.858554e-01
0.016,5,3,0.141140,0.376997,0.518137,0.957143,6.859181e-01
0.016,6,1,0.140373,0.376290,0.516662,0.958496,6.864033e-01
0.016,6,2,0.137738,0.375833,0.513571,0.964844,6.867170e-01
0.016,6,3,0.135991,0.374742,0.510733,0.960417,6.874667e-01
0.016,7,1,0.135405,0.374229,0.509634,0.965576,6.878194e-01
0.016,7,2,0.136049,0.374167,0.510216,0.962402,6.878620e-01
0.016,7,3,0.138268,0.373203,0.511472,0.954762,6.885253e-01
0.016,8,1,0.134524,0.372715,0.507238,0.963867,6.888619e-01
0.016,8,2,0.135413,0.371960,0.507373,0.960205,6.893816e-01
0.016,8,3,0.134362,0.371576,0.505938,0.961012,6.896469e-01
0.016,9,1,0.131419,0.371038,0.502456,0.965576,6.900181e-01
0.016,9,2,0.135198,0.370297,0.505495,0.959961,6.905291e-01
