w_value,epoch,avg_loss,avg_loss_with_reg,avg_acc,avg_srpq,avg_reg,avg_w
0.016,26,0.014610,0.279519,0.972472,0.767276,0.264909,0.016000
0.016,27,0.014399,0.277572,0.972645,0.768609,0.263173,0.016000
0.016,28,0.014197,0.275644,0.972905,0.769937,0.261447,0.016000
0.016,29,0.014006,0.273731,0.973078,0.771263,0.259725,0.016000
0.016,30,0.013819,0.271830,0.972992,0.772587,0.258011,0.016000
0.032,1,0.027132,0.278946,0.968923,0.777389,0.251814,0.032000
0.032,2,0.026286,0.276515,0.966413,0.778623,0.250229,0.032000
0.032,3,0.025540,0.274214,0.966846,0.779834,0.248675,0.032000
0.032,4,0.024910,0.271987,0.965461,0.781080,0.247077,0.032000
0.032,5,0.024328,0.269788,0.965287,0.782345,0.245460,0.032000
0.032,6,0.023763,0.267621,0.965028,0.783599,0.243858,0.032000
0.032,7,0.023181,0.265453,0.964855,0.784843,0.242272,0.032000
0.032,8,0.022638,0.263327,0.965461,0.786086,0.240689,0.032000
0.032,9,0.022112,0.261216,0.965893,0.787333,0.239104,0.032000
0.032,10,0.021608,0.259129,0.965980,0.788580,0.237521,0.032000
0.032,11,0.021124,0.257066,0.966413,0.789826,0.235942,0.032000
0.032,12,0.020664,0.255036,0.966846,0.791068,0.234372,0.032000
0.032,13,0.020206,0.253015,0.967019,0.792305,0.232809,0.032000
0.032,14,0.019761,0.251018,0.967192,0.793536,0.231257,0.032000
0.032,15,0.019330,0.249039,0.967538,0.794764,0.229710,0.032000
0.032,16,0.018925,0.247091,0.967625,0.795992,0.228167,0.032000
0.032,17,0.018535,0.245164,0.968057,0.797217,0.226628,0.032000
0.032,18,0.018170,0.243267,0.968144,0.798439,0.225097,0.032000
0.032,19,0.017811,0.241386,0.968577,0.799655,0.223575,0.032000
0.032,20,0.017469,0.239534,0.968663,0.800863,0.222065,0.032000
0.032,21,0.017130,0.237699,0.969010,0.802063,0.220569,0.032000
0.032,22,0.016807,0.235889,0.969183,0.803256,0.219082,0.032000
0.032,23,0.016494,0.234099,0.969096,0.804444,0.217605,0.032000
0.032,24,0.016199,0.232334,0.968923,0.805627,0.216135,0.032000
0.032,25,0.015911,0.230584,0.969443,0.806805,0.214673,0.032000
0.032,26,0.015636,0.228857,0.969529,0.807978,0.213221,0.032000
0.032,27,0.015371,0.227149,0.970048,0.809144,0.211778,0.032000
0.032,28,0.015112,0.225458,0.970395,0.810304,0.210346,0.032000
0.032,29,0.014862,0.223786,0.971001,0.811457,0.208924,0.032000
0.032,30,0.014616,0.222128,0.971174,0.812603,0.207512,0.032000
0.064,1,0.027864,0.226753,0.964249,0.819641,0.198889,0.064000
0.064,2,0.026878,0.224597,0.963210,0.820601,0.197719,0.064000
0.064,3,0.026141,0.222673,0.962777,0.821575,0.196532,0.064000
0.064,4,0.025426,0.220743,0.961305,0.822574,0.195316,0.064000
0.064,5,0.024811,0.218893,0.961219,0.823590,0.194082,0.064000
0.064,6,0.024193,0.217043,0.961479,0.824605,0.192850,0.064000
0.064,7,0.023583,0.215205,0.962171,0.825619,0.191622,0.064000
0.064,8,0.023015,0.213403,0.962344,0.826638,0.190388,0.064000
0.064,9,0.022464,0.211612,0.962604,0.827663,0.189149,0.064000
0.064,10,0.021947,0.209854,0.962777,0.828692,0.187907,0.064000
0.064,11,0.021462,0.208126,0.963296,0.829723,0.186664,0.064000
0.064,12,0.020991,0.206415,0.963816,0.830752,0.185424,0.064000
